index,relative_path,top,directory,name,inferred_category,usage,duration_sec,size_kb,channels,sample_rate,reference_count,first_references
1,Custom\AbilitySounds\AdrenalineActivate.ogg,Custom,Custom\AbilitySounds,AdrenalineActivate,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Adrenaline Activate。 代码标识：AdrenalineActivationSound。,5.50,99.6,2,44100,1,CalPlayer\CalamityPlayer.cs:473 (AdrenalineActivationSound)
2,Custom\AbilitySounds\AngelicAllianceActivation.ogg,Custom,Custom\AbilitySounds,AngelicAllianceActivation,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Angelic Alliance Activation。 代码标识：ActivationSound。,6.53,82.5,2,44100,1,Items\Accessories\AngelicAlliance.cs:18 (ActivationSound)
3,Custom\AbilitySounds\BloodflareRangerActivation.ogg,Custom,Custom\AbilitySounds,BloodflareRangerActivation,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Bloodflare Ranger Activation。 代码标识：ActivationSound。,0.81,16.7,2,44100,1,Items\Armor\Bloodflare\BloodflareHeadRanged.cs:16 (ActivationSound)
4,Custom\AbilitySounds\BloodflareRangerRecharge.ogg,Custom,Custom\AbilitySounds,BloodflareRangerRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Bloodflare Ranger Recharge。 代码标识：EndSound。,0.56,14.7,2,44100,1,Cooldowns\BloodflareRangedSet.cs:17 (EndSound)
5,Custom\AbilitySounds\BrimflameAbility.ogg,Custom,Custom\AbilitySounds,BrimflameAbility,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Brimflame Ability。 代码标识：ActivationSound。,1.62,32.3,2,44100,1,Items\Armor\Brimflame\BrimflameCowl.cs:18 (ActivationSound)
6,Custom\AbilitySounds\BrimflameRecharge.ogg,Custom,Custom\AbilitySounds,BrimflameRecharge,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Brimflame Recharge。 代码标识：EndSound。,0.97,16.2,2,44100,2,Cooldowns\BrimflameFrenzy.cs:20 (EndSound); Projectiles\Ranged\CondemnationHoldout.cs:100 (fire)
7,Custom\AbilitySounds\ChaosStateOver.ogg,Custom,Custom\AbilitySounds,ChaosStateOver,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Chaos State Over。 代码标识：EndSound。,1.27,24.6,2,44100,1,Cooldowns\ChaosState.cs:17 (EndSound)
8,Custom\AbilitySounds\DarklightEnergyCharged.ogg,Custom,Custom\AbilitySounds,DarklightEnergyCharged,玩家能力,玩家能力/套装或冷却提示音效；动作：蓄力/充能/冷却；主题：Darklight Energy Charged。 代码标识：maxEnergyReached。,0.75,20.2,2,48000,2,CalPlayer\CalamityPlayerMiscEffects.cs:415 (maxEnergyReached); CalPlayer\CalamityPlayerMiscEffects.cs:472 (maxEnergyReached)
9,Custom\AbilitySounds\DemonshadeEnrage.ogg,Custom,Custom\AbilitySounds,DemonshadeEnrage,玩家能力,玩家能力/套装或冷却提示音效；动作：激活/使用/UI；主题：Demonshade Enrage。 代码标识：ActivationSound。,3.19,53.6,2,44100,1,Items\Armor\Demonshade\DemonshadeHelm.cs:19 (ActivationSound)
10,Custom\AbilitySounds\DesertProwlerCDReset.ogg,Custom,Custom\AbilitySounds,DesertProwlerCDReset,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Desert Prowler CD Reset。 代码标识：CDResetSound。,1.50,28.4,2,44100,1,Items\Armor\DesertProwler\DesertProwlerSet.cs:23 (CDResetSound)
11,Custom\AbilitySounds\DesertProwlerSmokeBomb.ogg,Custom,Custom\AbilitySounds,DesertProwlerSmokeBomb,玩家能力,玩家能力/套装或冷却提示音效；动作：通用/特殊；主题：Desert Prowler Smoke Bomb。 代码标识：SmokeBombSound。,5.51,93.8,2,44100,1,Items\Armor\DesertProwler\DesertProwlerSet.cs:21 (SmokeBombSound)
